task_id,public_subset,shard_run,status,failure_class,score,perfect,duration_s
bu2-121,False,35926817626,timeout,harness: status check timed out,0,False,248
bu2-122,False,35927317893,completed,,100,True,688
bu2-123,False,35926829005,completed,,23,False,396
bu2-124,False,35926817626,completed,,100,True,905
bu2-125,False,35927317893,completed,,100,True,476
bu2-126,False,35926829005,completed,,100,True,1495
bu2-127,False,35926817626,completed,,72,False,159
bu2-128,False,35927317893,completed,,48,False,769
bu2-129,False,35926829005,completed,,100,True,318
bu2-130,False,35926817626,completed,,74,False,204
bu2-131,False,35927317893,completed,,76,False,562
bu2-132,False,35926829005,completed,,100,True,683
bu2-133,False,35926817626,completed,,100,True,104
bu2-134,False,35927317893,completed,,46,False,353
bu2-135,False,35926829005,completed,,47,False,166
bu2-136,False,35926817626,completed,,82,False,404
bu2-137,False,35927317893,completed,,100,True,643
bu2-138,False,35926829005,error,provider: HTTP 400,10,False,132
bu2-139,False,35926817626,completed,,100,True,408
bu2-140,False,35927317893,completed,,100,True,156
bu2-141,False,35926829005,error,provider: HTTP 400,65,False,404
bu2-142,False,35926817626,completed,,100,True,322
bu2-143,False,35927317893,completed,,59,False,209
bu2-144,False,35926829005,completed,,85,False,372
bu2-145,False,35926817626,completed,,18,False,70
bu2-146,False,35927317893,completed,,100,True,246
bu2-147,False,35926829005,completed,,66,False,163
bu2-148,False,35926817626,completed,,100,True,173
bu2-149,False,35927317893,completed,,100,True,150
bu2-150,False,35926829005,completed,,100,True,595
bu2-151,False,35926817626,completed,,100,True,685
bu2-152,False,35927317893,completed,,87,False,189
bu2-153,False,35926829005,completed,,62,False,537
bu2-154,False,35926817626,completed,,100,True,101
bu2-155,False,35927317893,completed,,100,True,453
bu2-156,False,35926829005,completed,,100,True,145
bu2-157,False,35926817626,completed,,100,True,212
bu2-158,False,35927317893,completed,,100,True,80
bu2-159,False,35926829005,completed,,100,True,143
bu2-160,False,35926817626,completed,,100,True,239
bu2-161,False,35927317893,completed,,100,True,399
bu2-162,False,35926829005,completed,,100,True,303
bu2-163,False,35926817626,completed,,100,True,1042
bu2-164,False,35927317893,completed,,88,False,458
bu2-165,False,35926829005,completed,,94,False,180
bu2-166,False,35926817626,completed,,100,True,126
bu2-167,False,35927317893,completed,,100,True,121
bu2-168,False,35926829005,completed,,100,True,90
bu2-169,False,35926817626,completed,,100,True,260
bu2-170,False,35927317893,completed,,100,True,351
bu2-171,False,35926829005,completed,,100,True,174
bu2-172,False,35926817626,completed,,72,False,260
bu2-173,False,35927317893,completed,,100,True,286
bu2-174,False,35926829005,completed,,100,True,633
bu2-175,False,35926817626,completed,,100,True,478
bu2-176,False,35927317893,completed,,100,True,112
bu2-177,False,35926829005,completed,,90,False,157
bu2-178,False,35926817626,completed,,100,True,316
bu2-179,False,35927317893,completed,,100,True,504
bu2-180,False,35926829005,completed,,100,True,196
bu2-181,False,35926817626,completed,,100,True,1691
bu2-182,False,35927317893,completed,,54,False,242
bu2-183,False,35926829005,completed,,100,True,1488
bu2-184,False,35926817626,completed,,74,False,220
bu2-185,False,35927317893,completed,,100,True,135
bu2-186,False,35926829005,completed,,100,True,200
bu2-187,False,35926817626,completed,,100,True,195
bu2-188,False,35927317893,completed,,100,True,164
bu2-189,False,35926829005,completed,,45,False,333
bu2-190,False,35926817626,completed,,74,False,377
bu2-191,False,35927317893,timeout,harness: status check timed out,8,False,1550
bu2-192,False,35926829005,completed,,100,True,692
bu2-193,False,35926817626,completed,,10,False,319
bu2-194,False,35927317893,completed,,100,True,538
bu2-195,False,35926829005,completed,,65,False,482
bu2-196,False,35926817626,completed,,100,True,182
bu2-197,False,35927317893,completed,,76,False,71
bu2-198,False,35926829005,completed,,46,False,329
bu2-199,False,35926817626,completed,,82,False,202
bu2-200,False,35927317893,completed,,74,False,1782
