task_id,level,website,reported,status,success,verdict,webjudge,rubrics_passed,rubrics_total,rubric_score,blocked,duration_s,llm_calls,tool_calls,cost_usd
62f1626ce249c31098854f8b38bdd6cf_110325,medium,https://www.microcenter.com/,true,completed,true,success,failure,,,,captcha,222,45,44,0.7707
561693d6eec7bbfba3fefe9e4b26decb,easy,https://www.marriott.com/,true,completed,true,success,success,,,,captcha,110,28,27,0.4196
b7a9a6b5d451164c09bbd27b670bc2ae,hard,https://www.uniqlo.com/,true,completed,true,success,success,,,,,206,32,31,0.2868
bfa2de159be6978acf2702be31a2eeeb,hard,https://www.united.com/,true,completed,true,success,success,,,,,97,23,22,0.2433
4091bdd3fa64a5b0d912bc08eaf9c824,easy,https://new.mta.info/,true,completed,true,success,success,,,,,41,13,12,0.1039
79f0bd7df6e685f30f20025cc6755c0a_110325,hard,https://www.microcenter.com/,true,completed,true,success,success,,,,captcha,203,41,40,0.5148
6ebde509dca8f15c0fa1bd74f071e8d6,hard,https://www.target.com/,true,completed,true,success,success,,,,,108,32,31,0.2471
34ccd15a8ea8fd3895af83f5ccf62369,easy,https://us.megabus.com/,true,completed,true,success,success,,,,,69,20,19,0.1468
c698ff3fc0f6cbce39947c597ab5749b_121425,medium,https://www.eventbrite.com/,true,completed,true,success,success,,,,,106,22,21,0.2031
b6d10e9bd19b4009a02dea0e98f4e1ae,easy,https://www.foxsports.com/,true,completed,true,success,success,,,,,40,13,12,0.1825
d71be72aa25c3eab8eea47a0e60382e2,easy,https://www.apple.com/,true,completed,true,success,success,,,,,44,12,11,0.0936
0b51b4fa0295ae80ccd176ebdad6fff6,hard,https://www.carmax.com/,true,completed,true,success,success,,,,,231,38,37,0.6995
3f312ae3efc3c3e90ababe050dd4e7ae,easy,https://www.nfl.com/,true,completed,true,success,success,,,,,41,8,7,0.0900
95cad96f2e43f3c0d8efad1331c77c8c,easy,https://www.rottentomatoes.com/,true,completed,true,success,success,,,,,51,12,11,0.0906
bf3b311cc8dce16d3de844f4b5875dfd,easy,https://www.apple.com/,true,completed,true,success,success,,,,,120,22,21,0.1649
b64f938af842f6a1b4489d0e49a785a7_121125,hard,https://www.target.com/,true,completed,true,success,success,,,,captcha,611,84,83,1.3397
5e1b8254c123c80178cc28e0afdb14f0_110325,easy,https://ticketmaster.com/,true,completed,true,success,success,,,,,38,11,10,0.0761
f27c0a7b8b0bb33d37698dff227fc8d7,hard,https://www.kbb.com/,true,completed,true,success,success,,,,,373,83,82,2.8176
8fdec8eeffd3491e6526cc78c028120b,hard,https://www.carmax.com/,true,completed,true,success,success,,,,,200,39,38,0.6730
7b182a5087347d494b48a29dbc0f1d3e,easy,https://www.adoptapet.com/,true,completed,true,success,success,,,,,60,15,14,0.0991
828c2d98616a9478d5864d847d5a1b28,easy,https://www.justice.gov/,true,completed,true,success,success,,,,,72,25,24,0.1562
608c595eec271fa5dc03506923519994,medium,https://www.fedex.com/en-us/home.html,true,completed,true,success,success,,,,,130,38,37,0.3374
a7a73c8fa75441fc76df9746c327bdd6,medium,https://www.thumbtack.com/,true,completed,true,success,success,,,,,183,49,48,0.7774
cfafe3771369d1d261e9f7ecd44c296d,medium,https://www.cars.com/,true,completed,true,success,success,,,,captcha,99,27,26,0.2700
bbbc243b4f18a7a897f0bc84e11d293f,easy,https://www.nba.com/,true,completed,true,success,success,,,,,187,49,47,0.5386
816851ff92ff0219acf4364dcc2c4692_110325,medium,https://www.jcpenney.com/,true,timeout,false,failure,unknown,,,,,110,14,14,0.1016
8244409b2c82043f966cad05f9afe132,hard,https://doctor.webmd.com/,true,completed,true,success,success,,,,,402,82,81,2.0879
e7301bb694871429bf2eb36c3a72186c_110325,medium,https://www.jcpenney.com/,true,completed,true,success,failure,,,,,499,27,26,0.2385
905cb53061c33aa2d77e485fe1fca516,hard,https://www.healthgrades.com/,true,completed,true,success,success,,,,,200,52,51,1.1959
fcf4952d2a1d80ea505c555c3c3b54e7,hard,https://www.cars.com/,true,completed,true,success,success,,,,,284,65,64,1.0994
3c1ffc3f494e423b3c434c79e35da8f3_110325,medium,https://www.fandom.com/,true,completed,true,success,success,,,,,160,40,38,0.2873
26a0e5c21c145dd8448aa92f35bec5ea,easy,https://www.healthgrades.com/,true,completed,true,success,success,,,,,117,26,25,0.1816
070c907d34a4ce71dfdbea38f9c5d4d8,medium,https://www.healthgrades.com/,true,completed,true,success,success,,,,,112,28,27,0.2199
43a1ca251f11c6b0bdd0379766cc49e6,medium,https://www.healthgrades.com/,true,completed,true,success,success,,,,,455,70,69,0.6497
b3f8bd9198d9d157e0848109563c4b23,hard,https://ohiomeansjobs.ohio.gov/,true,completed,true,success,success,,,,,130,50,49,0.5165
20a460a8fe1971b84411c5b1e6ac4186,easy,https://www.stubhub.com/,true,completed,true,success,success,,,,captcha,239,59,58,0.7374
db1ffb5e60578597d1c3aa3c389ac7b1,easy,https://www.google.com/shopping?udm=28,true,completed,false,failure,failure,,,,captcha,336,90,89,1.7170
7be8cd8dba885cddd9af5320f49bc41b,medium,https://www.bbb.org/,true,completed,true,success,success,,,,,119,36,35,0.2948
239a29bde438fe44fe17fe1390ef1634,medium,https://www.healthline.com/,true,completed,true,success,success,,,,,70,16,15,0.1363
9f1cba613830ca1c6a58f9498c06e679_110325,medium,https://www.remax.com/,true,completed,true,success,success,,,,,321,52,50,0.5175
75146b7b67388b9244e0f21a1527c022,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,165,34,33,0.3468
59b7b990b4828bc305ab0d7ed6071b55,medium,https://www.landwatch.com/,true,completed,true,success,success,,,,,219,60,59,0.5593
9c97bab9c2abfb90a426cbe9addae8d0_110325,medium,https://www.michaels.com/,true,completed,true,success,success,,,,,60,9,8,0.0814
871e7771cecb989972f138ecc373107b,easy,https://www.theweathernetwork.com/,true,completed,true,success,success,,,,,104,19,18,0.3564
b69eb4de621e9e265676daac44938f3f,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,150,32,31,0.3389
9bb63ad0e38d5691a618932a8b31c05a,easy,https://www.google.com/shopping?udm=28,true,completed,true,success,success,,,,captcha,233,68,67,0.7290
8ae510355d978424f490798f900bfa2c_051526,hard,https://www.student.com/,true,completed,true,success,success,,,,,148,40,39,0.7370
4c186c6ed888d0c8d4cf4adb39443080,medium,https://www.nba.com/,true,completed,true,success,success,,,,,141,24,23,0.2585
2fc51dd3febd447f0fdcdabca8d944ce_110325,medium,https://www.publicstorage.com/,true,completed,true,success,success,,,,,93,23,22,0.1452
eb323dc584156d0eb3a2b90bb8c4b791_110325,hard,https://www.compass.com/,true,completed,true,success,success,,,,,166,38,37,0.2931
87f4c5128e36cdb9366a138a7b61bb00,medium,https://www.bestbuy.com/,true,completed,true,success,success,,,,,212,46,45,0.4173
354b4ddf048815f8fd4163d0d7e1aaa3,medium,https://ohiomeansjobs.ohio.gov/,true,completed,true,success,success,,,,,68,20,19,0.3545
e4e097222d13a2560db6f6892612dab6,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,199,50,49,0.4954
f389398d2eeb29e5571e00439c57eb76,easy,https://www.theweathernetwork.com/,true,completed,true,success,success,,,,,103,20,19,0.1863
8ea6c3a2ea3f59150619935261a76d19,medium,https://www.fedex.com/en-us/home.html,true,completed,true,success,success,,,,,91,25,24,0.2699
c1d6ea6f2196d25782cc3646ff3090db,medium,https://www.google.com/shopping?udm=28,true,completed,true,success,success,,,,captcha,304,73,72,1.0528
2dd41b1d0e8f389d0683f4a4627abfe6,medium,https://www.landwatch.com/,true,completed,true,success,success,,,,,176,45,44,0.4308
f2097f92a10d42a842c14179f422311e,easy,https://www.bestbuy.com/,true,completed,true,success,success,,,,,114,16,15,0.1127
85b284c18d7e78c9b5a9e074e7aa3b98_051526,medium,https://www.student.com/,true,completed,true,success,success,,,,,91,20,19,0.1819
853afd530c72f4b00ffc32ae854efaf8,easy,https://www.accuweather.com/,true,completed,true,success,success,,,,,199,51,50,0.6723
c09721cc937d4dcfb391a0bc2c574b28,easy,https://www.recreation.gov/,true,completed,true,success,success,,,,,113,21,20,0.1773
4c572a627b53b0f9a734ab37f21819b8,easy,https://craigslist.org/,true,completed,true,success,success,,,,,59,13,12,0.1317
301f267f421b93045874726183e8f722,medium,https://www.healthline.com/,true,completed,true,success,failure,,,,,244,48,46,0.3862
4f903626f632586fe4728d6664947bab,easy,https://www.justice.gov/,true,completed,true,success,success,,,,,153,40,39,0.3624
3ec0f6138d37fadcb989347a6088ec45,easy,https://www.bbb.org/,true,completed,true,success,success,,,,,34,9,8,0.1492
2207bb4f21786690cfed20b37253fb8b,easy,https://www.theweathernetwork.com/,true,completed,true,success,success,,,,,49,5,4,0.0796
9c04b71bb8db6cf8e743b2290cbc8797,medium,https://www.ups.com/,true,completed,true,success,success,,,,,59,15,14,0.1014
4e0f5561a76478da87995dee00b09572,easy,https://www.accuweather.com/,true,completed,true,success,success,,,,,81,24,23,0.2150
7562d9b4e4829a44245aafce2e1f62db,medium,https://www.usps.com/,true,completed,true,success,success,,,,,163,50,49,0.7039
bd1e3770b7181f6fce9c35e18caa9785,easy,https://craigslist.org/,true,completed,true,success,success,,,,,44,11,10,0.1253
330cd04c773ac498f51afa4665461ec8,medium,https://craigslist.org/,true,completed,true,success,success,,,,,71,18,17,0.2010
ec78d3a635e417bc2a80d03ca93d7165,hard,https://www.gov.uk/,true,completed,true,success,success,,,,,134,32,31,0.2467
a0a18ca6a3529f3e97c771aadd42d3a0_110325,hard,https://www.jcpenney.com/,true,completed,false,failure,success,,,,,359,61,60,0.4983
82eb3bfedd78456a0230b389f4e7a938,easy,https://coinmarketcap.com/,true,completed,true,success,success,,,,,72,15,14,0.2280
e7f6cca9a8875f98fee3b711ead3a444_110325,easy,https://www.tumblr.com/,true,error,false,failure,success,,,,,284,30,29,0.3285
75a1b5dcd2c28508a971d98d51fe5767,easy,https://www.allrecipes.com/,true,completed,true,success,success,,,,,136,24,22,0.1992
c03ee2be3d73556ab789c0ad1cbd3451,hard,https://www.akc.org/,true,completed,true,success,success,,,,,171,49,48,0.4337
05483c50cc9b04c8ac44c574758fb2bd,medium,https://www.bbb.org/,true,completed,true,success,failure,,,,,224,62,61,1.0098
a172a5d9ffaf5ef02bd550ec4fe24e6d,easy,https://www.drugs.com/,true,completed,true,success,success,,,,,100,31,30,0.2365
7e1047f4803237f319c004f7a7f6bccb_121125,hard,https://www.bestbuy.com/,true,completed,true,success,success,,,,,212,39,38,0.4412
f2be37a9a60fbc25b6b11cf622d17352_110325,hard,https://www.akc.org/,true,completed,true,success,failure,,,,,161,55,54,0.7453
e24662008c3be5d56f986f232fcec447,easy,https://www.google.com/finance/,true,completed,true,success,success,,,,,102,32,31,0.2771
0170ca95038b05fa58d463fe627ac605,hard,https://www.gov.uk/,true,completed,true,success,success,,,,,102,28,27,0.7753
b3a7da968de13bbdcaed12ffe4993df6,medium,https://www.akc.org/,true,completed,true,success,success,,,,,151,46,45,0.3925
515f2e5811cfdd5e0e669e40f17886d8,medium,https://www.bestbuy.com/,true,completed,true,success,success,,,,,346,67,66,2.0739
4d3157aab34b54e5f0c4b965dfe930f3,medium,https://www.babycenter.com/,true,completed,true,success,success,,,,,171,53,52,0.4243
e4e19e04286f644d747d8c5a79d17fac,medium,https://www.drugs.com/,true,completed,true,success,success,,,,,299,72,71,0.6718
cad62d2be0c53f08a416457486b3db23,easy,https://www.adoptapet.com/,true,completed,true,success,success,,,,,74,13,12,0.1207
9ef1a8972f375db59c0e6329e11b7939,easy,https://www.landwatch.com/,true,completed,true,success,success,,,,,114,24,23,0.1732
a11ecdff735b51372d536c866011af6f,easy,https://www.coursera.org/,true,completed,true,success,success,,,,,103,20,19,0.1517
7fff82864f21ddeccf4104a220892824,medium,https://www.google.com/shopping?udm=28,true,completed,true,success,failure,,,,captcha,292,59,58,0.7297
50d91eabde542906937ab4c5b6f8f23a_121425,hard,https://www.babycenter.com/,true,completed,true,success,success,,,,,138,36,35,0.2675
dcd26e662a616d373ddd339747c6ce5b,hard,https://www.healthline.com/,true,completed,true,success,success,,,,,147,46,45,0.3522
eb2db4b769c145dbe6ba4f74f3e0de98,medium,https://www.akc.org/,true,completed,true,success,failure,,,,,190,43,42,0.3778
c0fa2c0e622971955cabf5bcf7b777e8,medium,https://www.apartments.com/,true,completed,true,success,success,,,,,85,20,19,0.2074
ce616721ce9aeda69890fbccb29677a6,medium,https://www.usps.com/,true,completed,true,success,success,,,,,123,26,25,0.2388
9d09bc948462db032bac98968b11b008,medium,https://www.stubhub.com/,true,completed,true,success,success,,,,captcha,754,100,99,1.9566
29526b17a32485742b5ab63507e99417,easy,https://www.drugs.com/,true,completed,true,success,success,,,,captcha,151,48,47,0.8182
d7c955b47af68e01766fa86d0bee08a7,easy,https://www.apartments.com/,true,completed,true,success,success,,,,,166,41,40,0.3608
9d090a15c214eb070d9caa8a034d03c1,hard,https://www.student.com/,true,completed,true,success,failure,,,,,944,131,130,2.3327
5916018d1cad999881018cac1216a692,medium,https://www.thumbtack.com/,true,completed,true,success,success,,,,,164,32,31,0.2553
0059adc6b12a3822305deb68929b2de8,medium,https://careers.walmart.com/,true,completed,true,success,success,,,,,202,61,60,0.5446
07bdc595306729a028ba06cc7451a80a,medium,https://us.trip.com/,true,completed,true,success,success,,,,captcha,130,23,22,0.2063
64b76158720a69e4a5c31a55d54928bf,medium,https://www.healthline.com/,true,completed,true,success,success,,,,,163,28,27,0.2290
e3ab665e01e7632ce33ac1aeca14aff6,easy,https://www.recreation.gov/,true,completed,true,success,success,,,,,109,26,25,0.3651
2d5a7f95f951a26838289dfd629ae850_110325,medium,https://www.compass.com/,true,completed,true,success,success,,,,,196,32,31,0.2873
26810ed9c123a62992e3eed31db3c5ee,easy,https://www.accuweather.com/,true,completed,true,success,success,,,,,112,23,22,0.5086
c181f903ec1107b850032c17cad88393,medium,https://www.webmd.com/,true,completed,true,success,success,,,,,155,37,36,0.2881
ef289e34a2f59a707cb07e2a6229ff03,medium,https://www.cars.com/,true,completed,true,success,success,,,,,89,19,18,0.1680
84f806c7fc15576673915f195efa72df,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,140,23,22,0.2685
be9e7dca1222714571ef3d7d59d2a41c,medium,https://weather.com/,true,completed,true,success,success,,,,,153,25,24,0.4394
11abb668c751dd56bb41f296a8bb3a13,medium,https://www.bestbuy.com/,true,completed,true,success,success,,,,,226,50,49,0.4400
207e933d1bba815bcb58664b5d82c085,medium,https://www.apartments.com/,true,completed,true,success,success,,,,,230,43,42,0.3043
29b7372d5a3884a2ba831af2d117af3c,easy,https://www.google.com/finance/,true,completed,true,success,success,,,,,83,23,22,0.1502
5c00e9561eae94789443f405525a5869,easy,https://www.healthline.com/,true,completed,true,success,success,,,,,43,8,7,0.0563
2532fd402d3c741b79894e6ff2269f53,easy,https://www.thumbtack.com/,true,completed,true,success,success,,,,,72,16,15,0.1435
9829f3087ab1f9c8eba6b6dd2b831d25_112325,easy,https://www.espn.com/,true,completed,true,success,success,,,,,360,67,66,0.7020
783ce6a3499fa7cf25bc12f8f0ecbbbb,easy,https://www.mayoclinic.org/,true,completed,true,success,success,,,,,122,28,27,0.2292
6db4a0e346976f2729ba9afcd3208941,easy,https://www.fedex.com/en-us/home.html,true,completed,true,success,success,,,,,85,21,20,0.1513
1fc28d91d25ccd1c6ba268101326a654,easy,https://www.google.com/finance/,true,completed,true,success,success,,,,,23,5,4,0.0635
255bf27c43fd3f9254d6b81a5f36d3a9,medium,https://www.landwatch.com/,true,completed,true,success,failure,,,,,340,51,50,0.5463
a8b9edd598561d2de901864d5f40fe67,medium,https://www.fedex.com/en-us/home.html,true,completed,true,success,success,,,,,123,21,20,0.2141
a6f0434ce6aff5f9b03681241b03ad82,easy,https://finance.yahoo.com/,true,completed,true,success,success,,,,,124,21,20,0.1291
415bf9da6f3db3a735ecbba3b0c76c15,medium,https://www.akc.org/,true,completed,true,success,success,,,,,142,44,43,1.3739
8103786e0e5976ebf961bd062d5f39cd,medium,https://www.mayoclinic.org/,true,completed,true,success,success,,,,,84,25,24,0.2535
92160852a6bbbc165cee4e14ab0b1d59,easy,https://www.ups.com/,true,completed,true,success,success,,,,,189,30,29,0.3446
502e864440283214e0180645015f568b_110325,medium,https://www.recreation.gov/,true,completed,false,failure,success,,,,,87,23,22,0.1653
7680a920359cb1a508fbddb001b98167,hard,https://www.babycenter.com/,true,completed,true,success,success,,,,,70,17,16,0.1720
07ec4a12cba8090e2dc524d558ac7675,medium,https://www.drugs.com/,true,completed,true,success,success,,,,captcha,148,42,41,0.4543
987bad7c6d4726d64232a8a1c3386888,hard,https://www.cars.com/,true,completed,true,success,success,,,,,211,38,37,0.4007
15be05973fba714e490cd9c884e4f072,medium,https://ohio.gov/,true,completed,true,success,success,,,,,72,23,22,0.1984
3adeea7627f4343069f38adae40f73d0_110325,medium,https://medicare.gov,true,completed,true,success,success,,,,,70,11,10,0.0966
c94551d2b18f9ad0ab31b0bd98ca42e3_121125,medium,https://www.petfinder.com/,true,completed,true,success,success,,,,,160,32,31,0.2518
4e801ba102dfaf22c7cf7a126b107609,medium,https://www.thumbtack.com/,true,completed,true,success,success,,,,,134,24,23,0.2202
39c388cdc468688c8139cc2bb5157c13,medium,https://www.cars.com/,true,completed,true,success,success,,,,captcha,159,32,31,0.3989
c8d7f2aa7eb5dd074c48c9f76f8659ad,easy,https://www.dmv.virginia.gov/,true,completed,true,success,success,,,,,37,10,9,0.0742
fd787623166785d84093565bf945fd24,medium,https://www.drugs.com/,true,completed,true,success,success,,,,,173,57,56,0.5266
c3307a70bb12ebf56cc9ec926b368f15,easy,https://www.drugs.com/,true,completed,true,success,success,,,,,64,17,16,0.1193
9586827ad04ee2362f4f0076bf0f0468,medium,https://www.drugs.com/,true,completed,true,success,success,,,,,68,18,17,0.1799
34992feb69eb8e788faa06868b365c49,easy,https://www.dmv.virginia.gov/,true,completed,true,success,success,,,,,43,13,12,0.1156
47b93b9e649eadeb8d96a6e3df715c2d,easy,https://www.mayoclinic.org/,true,completed,true,success,success,,,,,45,14,13,0.1315
3443e9c3151fef19a3c3a45eb2c13640,hard,https://www.webmd.com/,true,completed,true,success,success,,,,,131,45,44,0.4968
6b5be1764692d1dc8f17dc4375b2daa8,easy,https://finance.yahoo.com/,true,completed,true,success,success,,,,,68,8,7,0.0589
16200f51d63f0a47a58fa17acd49e368,easy,https://cookpad.com/,true,completed,true,success,success,,,,,28,7,6,0.0537
c2153fc053112e89c2f103869c4d6890,easy,https://www.thumbtack.com/,true,completed,true,success,success,,,,,102,26,25,0.1690
5e4e89c9b6fdaee7a41aca5601b82e04,medium,https://www.drugs.com/,true,completed,true,success,success,,,,captcha,222,69,68,0.8632
60cbbbd58eb9d28b053aef945f464228,medium,https://www.bbb.org/,true,completed,true,success,success,,,,,58,15,14,0.0992
8f80e64e44e1fada018997b2fe869683_110325,easy,https://9gag.com/,true,completed,true,success,success,,,,,83,16,15,0.2828
65c4030f22fb6eb101acfee4825f1318,medium,https://www.mayoclinic.org/,true,completed,true,success,success,,,,,46,16,15,0.1132
6ca20f1da01edeb49a7a42c816d8c6fe,medium,https://www.gov.uk/,true,completed,true,success,success,,,,,47,14,13,0.1120
2e4e21cf1449c6894b17d571c47b77ea,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,176,31,30,0.4814
1df24ec81137386d6476bcf343a79012,medium,https://www.bestbuy.com/,true,completed,true,success,success,,,,,132,22,21,0.1688
4639a54f3ab549864fd8d60b7398b1e1,medium,https://www.adoptapet.com/,true,completed,false,failure,success,,,,,193,38,37,0.4224
9af05e392cf3f5a8ff17aa764ba5bda6,hard,https://www.bbb.org/,true,completed,true,success,failure,,,,captcha,127,35,34,0.5002
627f7a18d85f29a687234f1ade4585c2,easy,https://www.nba.com/,true,completed,true,success,success,,,,,101,23,22,0.2357
0b838cd54f826c59c71f600c56b89a11,hard,https://www.bbb.org/,true,completed,true,success,success,,,,,259,51,50,0.5658
5dec0e6620849459f29e6465982c597e,hard,https://www.bestbuy.com/,true,completed,true,success,failure,,,,,241,46,45,0.5547
52efbab520734ef9bf7c09ba0f62cdc8,easy,https://www.recreation.gov/,true,completed,true,success,success,,,,,28,8,7,0.0725
b1ce968a361e1088ce8d2ade6c2c9af0,medium,https://www.petfinder.com/,true,completed,true,success,success,,,,,158,26,25,0.2084
23204728192da9f73197a613d9681c18,easy,https://www.mayoclinic.org/,true,completed,true,success,success,,,,,35,12,11,0.0799
a69d2934fe54fef165490a5a2d95bf38,medium,https://cookpad.com/,true,completed,true,success,failure,,,,,122,34,33,0.2831
e9f4dfc67e0e6aa37f05f7cc5aa7428c,medium,https://www.healthgrades.com/,true,completed,true,success,success,,,,,189,49,48,0.7319
2218042362d8fae73756eb309848c2b2,medium,https://www.cars.com/,true,completed,true,success,success,,,,,164,51,50,0.4493
ba2a469af584f16da93ce6a7430cf7e5,medium,https://www.coursera.org/,true,completed,true,success,success,,,,,340,47,46,0.3675
26784156ae9859a0dd6c5920eb106f91,medium,https://www.apartments.com/,true,completed,true,success,success,,,,,153,32,31,0.2306
47e314cc452c540524ffb7cf520285a3,medium,https://www.recreation.gov/,true,completed,true,success,success,,,,,283,64,63,1.0409
271b36efd4346721b5542488ff997042,easy,https://www.bestbuy.com/,true,completed,true,success,success,,,,,116,28,27,0.3483
6b2cfae0ef25c73d1224b6ab74cb8b63,medium,https://www.nba.com/,true,completed,true,success,success,,,,,106,22,21,0.2590
0a54069a0ef542e571d1fee7f39c93d5,medium,https://www.adoptapet.com/,true,completed,true,success,success,,,,,139,25,24,0.2773
4e3f6a538cc1f7321cfc50260db9545d,easy,https://www.theweathernetwork.com/,true,completed,true,success,success,,,,,56,9,8,0.1094
f00e7accfb4a5e09680bdb326e6274ad,easy,https://www.accuweather.com/,true,completed,true,success,success,,,,,72,20,19,0.4766
6174e5ddd40cfbdc33ee1502f40bac39,medium,https://www.recreation.gov/,true,completed,true,success,success,,,,,196,45,44,0.4343
547f5729c59d5d12a457a3ebb74c31c6_010226,hard,https://www.apartments.com/,true,completed,true,success,success,,,,,204,32,31,0.2381
0b2623e9fa5cea997f76490bcbc5220f,hard,https://www.petfinder.com/,true,completed,true,success,success,,,,,433,92,91,1.6053
3ae28b3c440efe87dc700480b78ac608,medium,https://www.healthgrades.com/,true,completed,true,success,success,,,,,122,39,38,0.3525
0632e496d37badee0350dad358f047c5,easy,https://cookpad.com/,true,completed,true,success,success,,,,,91,15,14,0.1339
aafd1fddea1558466ac6133934d35156,medium,https://www.apartments.com/,true,completed,true,success,success,,,,,211,43,42,0.3301
246d654fab7c31d9651007e39e75f74f,easy,https://www.recreation.gov/,true,completed,true,success,success,,,,,82,22,21,0.5363
690d7b4a285fdb1e9dabf973bf46ae4d,medium,https://craigslist.org/,true,completed,true,success,success,,,,,112,28,27,0.2895
c43a7dccf5c44f7b45a821e712dd1970,medium,https://www.healthline.com/,true,completed,true,success,success,,,,,102,26,25,0.1996
d5c34bf39eb6096ae5d439325cde4d32,easy,https://www.dmv.virginia.gov/,true,completed,true,success,success,,,,,41,11,10,0.0800
180ed2ec377ef3a4af9035a21522091a,easy,https://umich.edu/,true,completed,true,success,success,,,,,93,30,29,0.3151
c521933dad9c0ef9f1dfa2f38b8e4405,easy,https://www.accuweather.com/,true,completed,true,success,success,,,,,60,11,10,0.0885
9b5dfe54a1c14c5c6336bae7374c3bb5,medium,https://www.ups.com/,true,completed,true,success,success,,,,,238,79,78,0.8293
c073ac1bcf40f84c599affc97edbc396,medium,https://www.apartments.com/,true,error,false,failure,failure,,,,,275,3,0,0.0000
73d08420706ae205a9c5be28b6d4e80f,easy,https://www.recreation.gov/,true,completed,true,success,success,,,,,65,17,16,0.1150
0a0fa834ce41b5297c6474293383759d_110325,medium,https://www.carnival.com/,true,completed,true,success,success,,,,,238,53,52,0.5711
a13e4231a3d6a7000c622c56448d97ba,hard,https://www.airbnb.com/,true,completed,true,success,failure,,,,,521,76,75,0.8819
bb518416a786fdb9b9bbf0c78515595e,easy,https://www.osu.edu/,true,completed,true,success,success,,,,,118,27,26,0.1820
b99c02965196d51e80ac7539e33f335b,medium,https://www.berkeley.edu/,true,completed,true,success,success,,,,,108,29,28,0.2626
27fa3ac20745d3d35e89fae157f63069,hard,https://www.stanford.edu/,true,completed,true,success,success,,,,,165,43,42,0.3442
b4aa7315e31dfcdc52baf7771be260c9,hard,https://www.nvidia.com/,true,completed,true,success,success,,,,,171,40,39,0.3841
442a450e696a96085257db6297891a4d,hard,https://www.chase.com/,true,completed,true,success,success,,,,,72,10,9,0.0957
9ed3827266b3b804f485859c3d00401e,hard,https://www.chase.com/,true,completed,true,success,success,,,,,91,21,20,0.3024
c801d1c951f59297f526bab84fa86c6e,hard,https://store.steampowered.com/,true,completed,true,success,success,,,,,159,41,40,0.4175
7c09c2c7c87cf6bb1138701eb54284ea,medium,https://phys.org/,true,completed,true,success,success,,,,captcha,153,45,44,0.5733
afcebfed28bea091d58f49ea6cb8194b,hard,https://www.cvs.com/,true,completed,true,success,success,,,,,472,67,66,0.7215
64345c365f544375357c7b67917f08a0_110325,medium,https://www.us-appliance.com/,true,completed,true,success,success,,,,,218,66,65,0.9639
ab6ee3b83aab6cd283320f5e01003cff,medium,https://www.apple.com/,true,completed,true,success,success,,,,,99,33,32,0.3629
33bd2cdcea4fcc42a09a8a1e4e5841c6_110325,hard,https://raisingcanes.com/,true,completed,true,success,success,,,,,259,71,70,0.8306
47186fac8e7c7277af01144644eb4e0b_121125,easy,https://www.parkers.co.uk/,true,completed,true,success,success,,,,,112,24,23,0.2434
fa9adb815b85d259f943d81874a052e5,medium,https://soundcloud.com/,true,completed,true,success,success,,,,,195,41,40,0.3671
